"attempt","seed","sideWord","topWord","reason","details"
2,20260606,"PLATFORM","COMPUTER","board_generation_failed",""
3,20260607,"ELECTION","CAPSULES","board_generation_failed",""
4,20260608,"CROSSING","ELECTION","no_unique_clue_set",""
5,20260609,"CAPSULES","TREASURE","no_unique_clue_set",""
6,20260610,"SANDWICH","RESEARCH","no_unique_clue_set",""
7,20260611,"CROSSING","QUESTION","no_unique_clue_set",""
8,20260612,"TREASURE","KEYBOARD","no_unique_clue_set",""
9,20260613,"DECISION","NOTEBOOK","no_unique_clue_set",""
10,20260614,"DECISION","SEQUENCE","no_unique_clue_set",""
11,20260615,"PLATFORM","PAINTING","no_unique_clue_set",""
12,20260616,"DECISION","BOUNDARY","no_unique_clue_set",""
13,20260617,"DECISION","TREASURE","no_unique_clue_set",""
14,20260618,"CROSSING","DECISION","no_unique_clue_set",""
15,20260619,"RESEARCH","WORKSHOP","board_generation_failed",""
16,20260620,"RESEARCH","PAINTING","no_unique_clue_set",""
17,20260621,"PLATFORM","SOLUTION","no_unique_clue_set",""
18,20260622,"STANDARD","NOTEBOOK","no_unique_clue_set",""
19,20260623,"MAGAZINE","SHIPYARD","board_generation_failed",""
20,20260624,"PAINTING","STANDARD","board_generation_failed",""
